""SRCPORT"",""DSTPORT"",""VPI1"",""VCI1"",""DSTID"",""SRCID"",""COMBID""
53,4046,0,3495,30112,24266,1149
80,1062,0,42,23059,26255,9594
80,1325,0,42,23059,26255,9594
80,2004,0,42,23059,26255,9594
80,2388,0,42,23059,26255,9594
80,2579,0,42,23059,26255,9594
80,4637,0,42,23059,26255,9594
88,1167,0,3495,30112,24266,1149
88,1732,0,3495,30112,24266,1149
88,2011,0,3495,30112,24266,1149
88,2473,0,3495,30112,24266,1149
88,2476,0,3495,30112,24266,1149
88,2483,0,3495,30112,24266,1149
88,2499,0,3495,30112,24266,1149
88,2508,0,3495,30112,24266,1149
88,3291,0,2800,30112,24266,1149
88,3796,0,3495,30112,24266,1149
88,3839,0,3495,30112,24266,1149
88,4635,0,3495,30112,24266,1149
88,4638,0,3495,30112,24266,1149
88,4659,0,3495,30112,24266,1149
135,445,0,543,28366,18352,8122
139,1400,0,100,18218,28366,74054
139,1429,0,100,18155,28366,24299
139,2141,0,100,18219,28366,154
139,2535,0,100,18130,28366,32801
139,4343,0,100,18296,28366,37638
139,4591,0,100,18172,28366,31688
139,4651,0,100,18130,28366,32801
139,4731,0,100,18156,28366,34073
139,10031,0,100,18219,28366,154
139,12112,0,100,18219,28366,154
139,12423,0,100,18219,28366,154
139,12747,0,100,18219,28366,154
139,17907,0,100,18219,28366,154
139,19814,0,100,18219,28366,154
139,37116,0,100,18219,28366,154
139,40628,0,100,18219,28366,154
139,43382,0,100,18219,28366,154
139,45661,0,100,18219,28366,154
139,48117,0,100,18219,28366,154
139,50712,0,100,18219,28366,154
139,52494,0,100,18219,28366,154
189,445,0,179,28366,20644,41534
265,445,0,179,28366,18169,12314
324,445,0,179,28366,18329,12356
356,445,0,49,28366,18317,27921
375,445,0,179,28366,18154,2297
425,445,0,159,30111,24253,431
445,32,0,94,21854,23348,627
445,44,0,94,21864,23348,1024
445,52,0,100,18124,28366,52763
445,61,0,100,20835,28366,32727
445,91,0,100,21864,26188,1056
445,96,0,100,21851,26188,52
445,107,0,100,18172,28366,31688
445,113,0,100,21855,26188,507
445,118,0,94,21856,23348,470
445,124,0,100,21864,26188,1056
445,129,0,94,21856,23348,470
445,153,0,100,21851,26188,52
445,193,0,94,21851,23348,48
445,196,0,94,21853,23348,552
445,215,0,100,21851,26188,52
445,216,0,94,21849,23348,5299
445,230,0,100,21854,26188,744
445,281,0,100,21864,26188,1056
445,301,0,100,21850,26188,575
445,352,0,94,21851,23348,48
445,467,0,100,21850,26188,575
445,536,0,94,21864,23348,1024
445,547,0,94,21856,23348,470
445,617,0,94,21856,23348,470
445,629,0,94,21853,23348,552
445,708,0,100,21854,26188,744
445,723,0,94,21856,23348,470
445,727,0,100,21851,26188,52
445,910,0,94,21852,23348,567
445,948,0,100,21851,26188,52
445,950,0,94,21852,23348,567
445,950,0,94,21853,23348,552
445,970,0,100,21851,26188,52
445,983,0,100,18161,28366,993
445,1017,0,94,21855,23348,1018
445,1025,0,100,18279,28366,403
445,1026,0,94,21856,23348,470
445,1026,0,100,21850,26188,575
445,1027,0,100,18155,28366,24299
445,1027,0,100,21850,26188,575
445,1027,0,100,21852,26188,576
445,1028,0,94,21852,23348,567
445,1028,0,94,21854,23348,627
445,1029,0,94,21850,23348,626
445,1030,0,94,21856,23348,470
445,1030,0,100,18155,28366,24299
445,1030,0,100,18279,28366,403
445,1030,0,100,18296,28366,37638
445,1030,0,100,18314,28366,33968
445,1030,0,100,20714,28366,5152
445,1030,0,100,21854,26188,744
445,1031,0,100,21851,26188,52
445,1031,0,100,21853,26188,315
445,1032,0,94,21853,23348,552
445,1032,0,100,21852,26188,576
445,1032,0,100,21864,26188,1056
445,1033,0,94,21851,23348,48
445,1033,0,100,18357,28366,22103
445,1033,0,100,21854,26188,744
445,1033,0,100,21856,26188,984
445,1034,0,94,21853,23348,552
445,1034,0,100,21852,26188,576
445,1034,0,100,21855,26188,507
445,1035,0,94,21850,23348,626
445,1035,0,94,21856,23348,470
445,1035,0,100,21852,26188,576
445,1036,0,94,21850,23348,626
445,1036,0,94,21852,23348,567
445,1036,0,94,21856,23348,470
445,1036,0,94,21864,23348,1024
445,1036,0,100,18155,28366,24299
445,1036,0,100,21854,26188,744
445,1036,0,100,21855,26188,507
445,1037,0,94,21853,23348,552
445,1037,0,94,21854,23348,627
445,1037,0,100,21853,26188,315
445,1038,0,94,21864,23348,1024
445,1039,0,94,21849,23348,5299
445,1039,0,94,21852,23348,567
445,1039,0,100,18357,28366,22103
445,1040,0,94,21864,23348,1024
445,1040,0,100,21854,26188,744
445,1041,0,94,21855,23348,1018
445,1042,0,100,21855,26188,507
445,1043,0,94,21853,23348,552
445,1043,0,94,21856,23348,470
445,1043,0,100,21856,26188,984
445,1044,0,94,21850,23348,626
445,1044,0,94,21856,23348,470
445,1044,0,100,21849,26188,7802
445,1045,0,94,21851,23348,48
445,1045,0,100,18154,28366,33132
445,1045,0,100,18273,28366,52965
445,1045,0,100,20682,28366,32404
445,1045,0,100,21856,26188,984
445,1046,0,94,21851,23348,48
445,1046,0,94,21853,23348,552
445,1046,0,94,21854,23348,627
445,1046,0,94,21856,23348,470
445,1046,0,100,18149,28366,32475
445,1046,0,100,18171,28366,32412
445,1046,0,100,18342,28366,32009
445,1046,0,100,20821,28366,42003
445,1046,0,100,21854,26188,744
445,1047,0,94,21850,23348,626
445,1047,0,94,21864,23348,1024
445,1047,0,100,18314,28366,33968
445,1047,0,100,21852,26188,576
445,1048,0,94,21850,23348,626
