IP,id,srcportb1024,type,srccnt,dstcnt
98.75.220.66,1,0,2,1,0
98.16.88.197,2,0,2,1,0
97.35.57.180,3,0,1,0,1
96.40.85.50,4,0,2,1,0
96.22.194.228,5,0,2,1,0
96.20.5.203,6,0,1,0,1
96.168.85.50,7,0,2,2,0
96.168.197.50,8,0,2,1,0
94.65.216.76,9,0,2,1,0
94.65.216.221,10,0,1,0,1
93.1.236.173,11,0,1,0,1
92.140.129.16,12,0,1,0,1
91.67.92.65,13,0,2,1,0
91.65.216.63,14,0,2,1,0
91.65.216.48,15,0,2,1,0
91.224.206.1,16,0,2,1,0
91.219.1.17,17,0,1,0,1
90.99.220.221,18,0,2,1,0
90.83.220.85,19,0,2,1,0
90.82.112.246,20,0,2,1,0
90.82.112.225,21,0,1,0,1
90.75.220.48,22,0,2,1,0
90.73.216.226,23,0,2,1,0
90.67.252.145,24,0,2,1,0
90.67.220.62,25,0,2,1,0
90.67.220.54,26,0,2,1,0
90.67.220.25,27,0,2,1,0
90.67.220.223,28,0,2,1,0
90.67.220.177,29,0,1,0,1
90.67.220.144,30,0,3,1,1
90.67.220.126,31,0,2,1,0
90.67.202.152,32,0,1,0,1
90.65.248.75,33,0,1,0,1
90.65.216.81,34,0,2,1,0
90.65.216.33,35,0,2,1,0
90.65.216.221,36,0,2,2,0
90.65.216.154,37,0,1,0,1
90.65.216.144,38,0,2,1,0
90.65.128.26,39,0,1,0,1
90.65.128.20,40,0,1,0,1
90.54.240.6,41,0,1,0,1
90.54.240.4,42,0,1,0,2
90.54.240.19,43,0,1,0,1
90.54.216.221,44,0,2,1,0
90.54.128.207,45,0,2,1,0
90.54.128.206,46,0,2,1,0
90.52.236.185,47,0,1,0,1
90.52.140.231,48,0,2,1,0
90.52.138.3,49,0,2,2,0
90.37.216.221,50,1,1,0,1
90.33.216.221,51,1,3,1,1
90.33.216.205,52,1,1,0,1
90.3.220.150,53,0,2,1,0
90.28.248.253,54,0,2,1,0
90.25.88.207,55,0,2,1,0
90.248.249.225,56,0,2,1,0
90.24.88.207,57,0,2,1,0
90.24.88.206,58,0,2,6,0
90.24.249.225,59,0,2,3,0
90.24.248.253,60,0,2,1,0
90.24.248.242,61,0,2,1,0
90.24.216.242,62,0,2,1,0
90.193.216.144,63,0,2,1,0
90.19.112.246,64,1,1,0,1
90.18.112.247,65,1,1,0,1
90.18.112.246,66,5,3,8,6
90.18.112.244,67,1,1,0,1
90.18.112.182,68,1,1,0,1
90.16.249.221,69,0,2,1,0
90.16.139.3,70,0,2,1,0
90.16.112.89,71,0,1,0,0
90.150.204.220,72,1,1,0,1
90.146.248.221,73,1,1,0,1
90.146.216.221,74,2,1,0,2
90.114.219.221,75,1,1,0,1
90.114.218.221,76,1,3,1,1
9.99.252.60,77,0,2,1,0
9.83.220.26,78,0,1,0,1
9.8.88.207,79,0,2,1,0
9.8.248.253,80,0,2,1,0
9.78.120.81,81,0,1,0,1
9.73.216.144,82,0,2,1,0
9.71.252.164,83,0,1,0,1
9.71.220.177,84,0,2,1,0
9.69.216.80,85,0,2,2,0
9.69.216.223,86,0,2,1,0
9.69.128.26,87,0,1,0,1
9.67.92.229,88,0,2,1,0
9.67.240.2,89,0,1,0,1
9.67.220.99,90,0,2,1,0
9.67.220.9,91,0,1,0,1
9.67.220.86,92,0,2,1,0
9.67.220.67,93,0,2,1,0
9.67.220.65,94,0,2,1,0
9.67.220.58,95,0,2,1,0
9.67.220.52,96,0,1,0,1
9.67.220.49,97,0,2,1,0
9.67.220.223,98,0,2,1,0
9.67.220.221,99,0,3,2,2
9.67.220.22,100,0,1,0,1
9.67.220.213,101,0,2,1,0
9.67.220.175,102,0,3,1,2
9.67.220.174,103,0,1,0,1
9.67.220.163,104,0,1,0,1
9.67.220.158,105,0,1,0,1
9.67.220.156,106,0,3,1,1
9.67.220.146,107,0,2,1,0
9.67.220.140,108,0,2,1,0
9.67.220.121,109,0,2,1,0
9.67.220.117,110,0,2,1,0
9.67.220.105,111,0,1,0,1
9.67.216.98,112,0,1,0,1
9.67.216.226,113,0,2,1,0
9.67.204.96,114,0,1,0,1
9.67.124.221,115,0,2,2,0
9.65.216.87,116,0,1,0,1
9.65.216.84,117,0,1,0,1
9.65.216.75,118,0,3,1,1
9.65.216.63,119,0,2,1,0
9.65.216.62,120,0,1,0,1
9.65.216.55,121,0,2,2,0
9.65.216.48,122,0,2,2,0
9.65.216.41,123,0,2,1,0
9.65.216.33,124,0,3,1,1
9.65.216.229,125,0,2,1,0
9.65.216.226,126,1,3,1,2
9.65.216.221,127,0,3,2,2
9.65.216.205,128,0,2,1,0
9.65.216.146,129,0,1,0,1
9.65.216.115,130,0,2,1,0
9.65.216.112,131,0,1,0,1
9.65.216.106,132,0,1,0,1
9.65.216.101,133,0,2,1,0
9.65.128.8,134,0,1,0,2
9.65.128.5,135,0,1,0,1
9.65.128.28,136,0,1,0,1
9.65.128.20,137,0,1,0,1
9.65.128.16,138,0,1,0,1
9.65.128.15,139,0,1,0,1
9.65.128.14,140,0,2,1,0
9.65.128.10,141,0,1,0,3
9.62.128.207,142,0,2,1,0
9.56.136.21,143,0,2,1,0
9.55.240.35,144,0,1,0,1
9.54.242.6,145,0,1,0,1
9.54.240.6,146,0,1,0,2
9.54.240.4,147,0,1,0,1
9.54.240.2,148,0,1,0,1
9.54.240.19,149,0,1,0,1
9.54.240.18,150,0,1,0,1
9.54.240.137,151,0,2,1,0
9.54.240.10,152,0,1,0,1
9.54.216.217,153,0,2,1,0
9.54.208.15,154,0,1,0,1
9.54.128.223,155,0,2,1,0
9.54.128.206,156,0,2,6,0
9.52.206.132,157,0,2,1,0
9.52.138.35,158,0,2,1,0
9.52.138.3,159,0,2,2,0
9.39.216.245,160,1,1,0,1
9.38.208.19,161,0,1,0,1
9.37.216.221,162,0,1,0,0
9.33.219.246,163,0,2,2,0
9.3.204.60,164,0,1,0,1
9.26.88.206,165,0,2,1,0
9.26.112.30,166,0,1,0,1
9.24.88.207,167,0,2,3,0
9.24.88.206,168,0,2,5,0
9.24.249.225,169,0,2,5,0
9.24.249.224,170,0,2,1,0
9.24.249.221,171,0,2,2,0
9.24.248.253,172,0,2,3,0
9.24.216.207,173,0,2,1,0
9.227.220.8,174,0,2,1,0
9.211.220.227,175,0,2,1,0
9.195.220.73,176,0,2,0,0
9.195.220.129,177,0,1,0,1
9.195.220.12,178,0,2,4,0
9.193.144.7,179,0,1,0,1
9.193.132.15,180,0,1,0,1
9.192.248.242,181,0,2,1,0
9.18.120.26,182,0,1,0,1
9.18.112.30,183,1,1,0,1
9.18.112.27,184,0,1,0,1
9.18.112.246,185,6,3,5,8
9.18.112.137,186,0,1,0,1
9.178.144.9,187,0,1,0,1
9.17.216.48,188,0,2,1,0
9.146.216.221,189,1,1,0,1
9.145.112.221,190,0,2,1,0
9.129.216.221,191,1,1,0,1
9.118.216.221,192,1,3,1,1
9.118.152.221,193,1,1,0,1
9.118.133.198,194,0,1,0,1
9.116.217.221,195,2,1,0,2
9.114.218.221,196,1,3,1,1
9.113.220.221,197,0,2,2,0
9.1.219.246,198,0,2,1,0
88.67.220.42,199,0,2,1,0
88.18.112.246,200,0,2,1,0
87.22.194.13,201,0,1,0,1
83.99.131.131,202,0,2,1,0
83.131.99.243,203,0,1,0,1
82.67.220.229,204,0,2,1,0
82.65.220.51,205,0,2,1,0
82.52.138.3,206,0,2,1,0
81.10.118.161,207,0,1,0,1
80.168.85.50,208,0,2,1,0
8.99.92.144,209,0,2,1,0
8.99.220.96,210,0,1,0,1
8.99.220.43,211,0,1,0,1
8.99.220.40,212,0,2,1,0
8.99.220.229,213,0,3,4,1
8.99.220.177,214,0,2,1,0
8.99.220.140,215,0,1,0,1
8.99.220.128,216,0,1,0,1
8.99.220.122,217,0,1,0,1
8.99.220.110,218,0,2,1,0
8.99.216.221,219,0,2,1,0
8.99.216.155,220,0,2,0,0
8.99.208.226,221,0,1,0,1
8.99.204.137,222,0,1,0,1
8.99.156.221,223,0,2,1,0
8.98.218.223,224,1,1,0,1
8.98.218.221,225,0,2,1,0
8.97.217.221,226,0,2,1,0
8.97.216.79,227,0,1,0,1
8.97.216.72,228,0,2,1,0
8.97.216.36,229,0,2,1,0
8.97.216.31,230,0,1,0,1
8.97.216.225,231,0,2,1,0
8.97.208.221,232,0,2,1,0
8.97.157.230,233,0,2,1,0
8.97.128.7,234,0,1,0,1
8.97.128.28,235,0,1,0,1
8.97.128.26,236,0,1,0,1
8.97.128.22,237,0,1,0,1
8.97.128.17,238,0,1,0,1
8.96.216.82,239,0,1,0,1
8.92.88.206,240,0,2,1,0
8.90.249.225,241,0,2,1,0
8.88.97.212,242,0,1,0,1
8.88.88.207,243,0,2,2,0
8.88.88.206,244,0,2,3,0
8.88.249.225,245,0,2,4,0
8.88.248.242,246,0,2,3,0
8.88.216.221,247,0,1,0,1
8.86.240.153,248,0,1,0,1
8.86.112.246,249,0,2,1,0
8.85.216.79,250,0,2,1,0
8.84.240.134,251,0,1,0,1
8.84.1.207,252,0,1,0,1
8.83.220.82,253,0,2,1,0
8.83.220.74,254,0,1,0,1
8.83.220.66,255,0,2,1,0
8.83.220.64,256,0,2,1,0
8.83.220.227,257,0,2,1,0
8.83.220.134,258,0,1,0,1
8.83.220.107,259,0,1,0,1
8.83.218.221,260,0,1,0,1
8.83.216.226,261,0,1,0,1
8.83.216.221,262,2,1,0,2
8.82.250.221,263,1,1,0,1
8.82.216.221,264,0,2,1,0
8.82.154.221,265,0,2,1,0
8.82.112.26,266,0,1,0,1
8.82.112.247,267,2,3,1,2
8.82.112.246,268,3,3,8,3
8.81.216.56,269,0,2,1,0
8.81.216.41,270,0,2,1,0
8.81.216.242,271,0,2,1,0
8.81.216.173,272,0,1,0,1
8.81.200.53,273,0,1,0,1
8.81.168.27,274,0,1,0,1
8.81.128.4,275,0,1,0,1
8.81.128.28,276,0,1,0,1
8.81.128.25,277,0,1,0,1
8.81.128.23,278,0,1,0,1
8.81.128.22,279,0,1,0,1
8.81.128.21,280,0,1,0,1
8.81.0.1,281,0,1,0,1
8.8.88.206,282,0,2,1,0
8.8.216.206,283,0,2,1,0
8.79.233.110,284,0,1,0,1
8.79.156.84,285,0,2,1,0
8.79.112.251,286,0,1,0,1
8.79.112.230,287,0,1,0,1
8.78.96.99,288,0,1,0,1
8.78.75.131,289,0,1,0,1
8.78.122.99,290,0,1,0,1
8.78.112.99,291,0,1,0,6
8.78.112.98,292,0,1,0,1
8.78.112.83,293,0,1,0,1
8.78.112.82,294,0,2,1,0
8.78.112.79,295,0,3,1,2
8.78.112.78,296,0,2,1,0
8.78.112.74,297,0,1,0,1
8.78.112.71,298,0,2,1,0
8.78.112.251,299,0,1,0,16
8.78.112.235,300,0,1,0,1
8.78.112.233,301,0,1,0,2
8.78.112.123,302,0,1,0,2
8.78.104.79,303,0,1,0,1
8.75.252.53,304,0,2,1,0
8.75.220.50,305,0,1,0,1
8.75.220.42,306,0,2,2,0
8.75.220.40,307,0,2,1,0
8.75.220.223,308,0,2,1,0
8.75.220.221,309,0,2,1,0
8.75.220.164,310,0,2,1,0
8.75.220.156,311,0,1,0,1
8.75.220.144,312,0,1,0,1
8.75.220.105,313,0,1,0,1
8.75.218.221,314,0,1,0,1
8.75.216.221,315,0,2,1,0
8.75.105.132,316,0,2,1,0
8.74.220.191,317,0,1,0,1
8.73.240.140,318,0,1,0,1
8.73.216.58,319,0,1,0,1
8.73.216.226,320,1,1,0,1
8.73.216.102,321,0,1,0,1
8.73.160.1,322,0,1,0,1
8.73.128.26,323,0,1,0,1
8.73.128.22,324,0,1,0,1
8.73.128.2,325,0,1,0,1
8.73.128.1,326,0,1,0,1
8.72.216.221,327,0,3,3,1
8.71.92.22,328,0,2,1,0
8.71.92.20,329,0,1,0,1
8.71.92.154,330,0,2,1,0
8.71.220.61,331,0,1,0,1
8.71.220.50,332,0,1,0,1
8.71.220.41,333,0,1,0,1
8.71.220.24,334,0,1,0,1
8.71.220.221,335,1,3,1,1
8.71.220.162,336,0,2,1,0
8.71.220.121,337,0,2,1,0
8.71.220.12,338,0,2,1,0
8.71.216.226,339,0,1,0,1
8.71.212.87,340,0,2,1,0
8.71.204.228,341,0,2,1,0
8.70.216.255,342,0,2,1,0
8.7.216.247,343,1,1,0,1
8.7.112.201,344,0,2,1,0
8.69.53.222,345,1,1,0,1
8.69.38.6,346,0,1,0,1
8.69.220.139,347,0,2,1,0
8.69.216.70,348,0,1,0,1
8.69.216.221,349,0,1,0,1
8.69.216.139,350,0,2,1,0
8.69.193.76,351,0,1,0,1
8.69.192.5,352,0,1,0,1
8.69.160.14,353,0,1,0,1
8.69.128.5,354,0,1,0,1
8.67.92.60,355,0,1,0,1
8.67.92.53,356,0,2,1,0
8.67.92.49,357,0,1,0,1
8.67.92.42,358,0,2,2,0
8.67.92.40,359,0,1,0,1
8.67.92.221,360,0,2,2,0
8.67.92.20,361,0,1,0,1
8.67.92.173,362,0,1,0,1
8.67.92.158,363,0,2,1,0
8.67.92.151,364,0,2,1,0
8.67.92.12,365,0,1,0,1
8.67.88.226,366,1,1,0,1
8.67.88.103,367,0,1,0,1
8.67.28.84,368,0,2,1,0
8.67.252.71,369,0,2,1,0
8.67.252.229,370,0,3,1,2
8.67.252.223,371,0,2,1,0
8.67.252.221,372,0,2,2,0
8.67.252.187,373,0,2,1,0
8.67.252.173,374,0,2,1,0
8.67.252.168,375,0,2,1,0
8.67.252.136,376,0,3,1,1
8.67.242.2,377,0,1,0,1
8.67.240.34,378,0,1,0,1
8.67.240.3,379,0,1,0,1
8.67.240.2,380,0,3,16,5
8.67.222.96,381,0,1,0,1
8.67.222.43,382,0,1,0,1
8.67.222.230,383,0,2,1,0
8.67.222.168,384,0,1,0,1
8.67.222.165,385,0,1,0,1
8.67.222.158,386,0,1,0,1
8.67.222.15,387,0,1,0,1
8.67.222.140,388,0,1,0,1
8.67.222.136,389,0,1,0,1
8.67.222.13,390,0,1,0,2
8.67.222.104,391,0,1,0,1
8.67.221.225,392,0,2,1,0
8.67.221.222,393,0,1,0,1
8.67.221.163,394,0,2,1,0
8.67.221.150,395,0,2,1,0
8.67.221.142,396,0,2,1,0
8.67.221.14,397,0,1,0,1
8.67.221.126,398,0,2,1,0
8.67.221.122,399,0,2,1,0
8.67.220.99,400,0,3,5,1
8.67.220.96,401,0,3,2,3
8.67.220.95,402,0,1,0,3
8.67.220.94,403,0,3,3,2
8.67.220.93,404,0,3,3,4
8.67.220.92,405,0,3,6,2
8.67.220.89,406,0,2,2,0
8.67.220.88,407,0,3,4,2
8.67.220.87,408,0,1,0,1
8.67.220.86,409,0,3,4,3
8.67.220.85,410,0,3,3,4
8.67.220.84,411,0,3,5,2
8.67.220.83,412,0,2,4,0
8.67.220.82,413,0,3,3,5
8.67.220.8,414,0,3,2,2
8.67.220.79,415,0,2,2,0
8.67.220.77,416,0,3,4,3
8.67.220.74,417,0,3,3,7
8.67.220.73,418,0,3,3,5
8.67.220.72,419,0,2,1,0
8.67.220.71,420,0,3,4,3
8.67.220.70,421,0,2,1,0
8.67.220.7,422,0,2,6,0
8.67.220.68,423,0,2,1,0
8.67.220.67,424,0,2,2,0
8.67.220.66,425,0,2,2,0
8.67.220.65,426,0,3,2,3
8.67.220.64,427,0,2,1,0
8.67.220.63,428,0,2,1,0
8.67.220.62,429,0,3,5,3
8.67.220.61,430,0,3,4,6
8.67.220.60,431,0,3,7,5
8.67.220.59,432,0,3,3,2
8.67.220.58,433,0,3,4,6
8.67.220.57,434,0,3,6,6
8.67.220.56,435,0,3,4,7
8.67.220.55,436,0,3,3,7
8.67.220.54,437,0,3,4,1
8.67.220.53,438,0,3,3,4
8.67.220.52,439,0,3,8,4
8.67.220.51,440,0,3,6,2
8.67.220.50,441,0,3,7,4
8.67.220.49,442,0,3,5,3
8.67.220.48,443,0,3,2,5
8.67.220.47,444,0,2,1,0
8.67.220.46,445,0,3,5,2
8.67.220.45,446,0,3,2,5
8.67.220.44,447,0,3,5,3
8.67.220.43,448,0,3,4,2
8.67.220.42,449,0,3,6,3
8.67.220.41,450,0,3,3,9
8.67.220.40,451,0,3,4,5
8.67.220.39,452,0,2,1,0
8.67.220.38,453,0,3,5,2
8.67.220.37,454,0,2,2,0
8.67.220.36,455,0,3,2,2
8.67.220.35,456,0,2,2,0
8.67.220.33,457,0,2,1,0
8.67.220.32,458,0,3,4,1
8.67.220.31,459,0,2,1,0
8.67.220.29,460,0,2,3,0
8.67.220.28,461,0,3,2,3
8.67.220.27,462,0,2,2,0
8.67.220.26,463,0,3,1,2
8.67.220.253,464,1,1,0,1
8.67.220.25,465,0,3,5,4
8.67.220.245,466,0,2,0,0
8.67.220.24,467,0,3,3,3
8.67.220.237,468,0,1,0,3
8.67.220.236,469,0,2,1,0
8.67.220.230,470,0,2,3,0
8.67.220.23,471,0,3,1,3
8.67.220.229,472,0,3,45,28
8.67.220.228,473,0,3,19,2
8.67.220.227,474,0,3,5,4
8.67.220.226,475,0,1,0,1
8.67.220.225,476,0,3,1,1
8.67.220.224,477,0,1,0,1
8.67.220.223,478,0,3,6,2
8.67.220.221,479,18,3,62,24
8.67.220.220,480,0,2,2,0
8.67.220.22,481,0,3,2,4
8.67.220.217,482,0,2,1,0
8.67.220.213,483,0,3,1,1
8.67.220.21,484,0,3,1,2
8.67.220.207,485,0,1,0,1
8.67.220.205,486,0,2,1,0
8.67.220.201,487,0,2,1,0
8.67.220.20,488,0,3,3,4
8.67.220.2,489,0,2,1,0
8.67.220.197,490,0,1,0,1
8.67.220.195,491,0,1,0,1
8.67.220.19,492,0,3,2,3
8.67.220.188,493,0,1,0,1
8.67.220.182,494,0,1,0,1
8.67.220.181,495,0,1,0,1
8.67.220.180,496,0,1,0,2
8.67.220.18,497,0,3,4,4
