IPSMALLTYPE,FILELEN,ISCRACKED,SRCPORT,DSTPORT,VPI1,VCI1,ATM1AALTYPE,TIMEINT,SRCID,DSTID,FILETYPE,COMBID
66,1146,1,445,1352,0,42,5,3801629,26279,23019,2,200
66,304,0,445,1352,0,42,5,3801629,26279,23019,0,200
66,170,0,445,1353,0,42,5,3801629,26279,22807,0,57618
66,243,0,445,1352,0,42,5,3801629,26279,23060,0,520
66,208,0,445,1352,0,42,5,3801629,25902,23031,0,43991
66,190,0,4618,445,0,543,5,3801885,20696,28367,0,3009
66,584,0,445,4618,0,100,5,3801885,28367,20696,0,3008
66,320,0,1170,445,0,543,5,3802014,18355,18461,0,70650
66,224,0,445,1170,0,100,5,3802014,27394,18337,0,70651
66,208,0,445,1170,0,100,5,3802014,18554,27369,0,70652
66,208,0,445,1170,0,100,5,3802014,590,2069,0,70653
66,176,0,445,1170,0,100,5,3802014,13538,18355,0,67790
66,357,0,3298,445,0,543,5,3802355,20878,28367,0,3291
66,180,0,2890,445,0,0,0,3802378,17745,26279,0,110
66,2176,0,445,3298,0,100,5,3802385,28367,20878,0,3375
66,241,0,2364,445,0,543,5,3802385,18220,28367,0,146
66,1330,0,3298,445,0,543,5,3802386,21417,28361,0,70654
66,1314,0,445,2890,0,100,5,3802403,26279,17745,0,112
66,313,0,445,2894,0,100,5,3802403,26279,17745,0,112
66,600,0,2890,445,0,543,5,3802403,17745,26279,0,110
66,218,0,50879,445,0,543,5,3802403,20745,28389,0,65635
66,208,0,50878,445,0,543,5,3802404,741,28367,0,7426
66,286,0,445,1200,0,100,5,3802404,10235,18324,0,70655
66,288,0,445,2364,0,100,5,3802405,24680,18546,0,70656
66,266,0,445,2890,0,100,5,3802405,26360,17737,0,61949
66,2277,0,1226,445,0,543,5,3802405,18326,29066,0,8459
66,935,0,445,50879,0,100,5,3802421,28367,20745,0,76
66,352,1,445,50879,0,100,5,3802421,28367,20745,1,76
66,1952,0,445,4063,0,100,5,3802422,28367,20665,0,134
66,3145,0,445,1226,0,100,5,3802422,29066,18326,0,22069
66,270,1,445,1226,0,100,5,3802422,29066,18326,1,22069
66,262,1,445,2375,0,100,5,3802477,28367,18220,1,145
66,270,1,445,2375,0,100,5,3802477,28367,18220,1,145
66,3871,0,445,2375,0,100,5,3802477,28367,18220,0,145
66,262,1,445,2375,0,100,5,3802477,28367,18220,1,145
66,3717,0,2375,445,0,543,5,3802477,18220,28367,0,146
66,241,0,23449,445,0,543,5,3802508,20753,25477,0,273
66,276,1,445,4977,0,42,5,3802525,26279,22990,1,90
66,2246,1,445,4977,0,42,5,3802525,26279,22990,2,90
66,2227,0,445,4977,0,42,5,3802525,26279,22990,0,90
66,1146,1,445,4977,0,42,5,3802525,26279,22990,2,90
66,404,1,23425,445,0,543,5,3802532,20753,29545,1,286
66,1997,0,23425,445,0,543,5,3802532,20753,29545,0,286
66,865,0,445,23425,0,100,5,3802532,29545,20753,0,287
66,352,1,445,23425,0,100,5,3802532,29545,20753,1,287
66,289,0,445,23358,0,100,5,3802533,18554,20753,0,272
66,352,1,445,23422,0,100,5,3802533,18554,20753,1,272
66,843,0,445,23422,0,100,5,3802533,18554,20753,0,272
66,204,0,2554,445,0,543,5,3802533,18170,28367,0,2459
66,1432,0,445,2554,0,100,5,3802533,28367,18170,0,2458
66,288,0,445,2554,0,100,5,3802533,13005,17558,0,70657
66,404,1,23422,445,0,543,5,3802533,20753,18554,1,274
66,1855,0,23422,445,0,543,5,3802533,20753,18554,0,274
66,241,0,23428,445,0,543,5,3802533,20753,7677,0,28749
66,241,0,2538,445,0,543,5,3802533,18170,11369,0,70658
66,220,0,23422,445,0,543,5,3802533,20971,18555,0,38709
66,278,0,445,2426,0,100,5,3802533,28660,16264,0,70659
66,285,0,445,23440,0,100,5,3802539,24912,20753,0,284
66,296,0,23444,445,543,0,0,3802539,5496,30392,0,70660
66,348,1,445,23449,0,100,5,3802539,25477,20753,2,271
66,663,0,445,23449,0,100,5,3802539,25477,20753,0,271
66,300,0,23440,445,0,543,5,3802540,20753,24915,0,16206
66,859,0,445,23428,0,100,5,3802540,30392,20753,0,275
66,404,1,23428,445,0,543,5,3802540,20753,30392,1,278
66,1578,0,23428,445,0,543,5,3802540,20753,30392,0,278
66,1056,0,445,23446,0,100,5,3802541,25074,20753,0,279
66,404,1,23446,445,0,543,5,3802541,20753,25074,2,280
66,621,0,23446,445,0,543,5,3802541,20753,25074,0,280
66,284,0,445,23175,0,100,5,3802541,30333,15907,0,70661
66,296,0,23306,445,0,543,5,3802541,20753,25233,0,282
66,460,0,445,23443,0,100,5,3802569,25430,20762,0,70662
66,482,0,445,23443,0,100,5,3802569,25430,20753,0,276
66,1252,0,445,1149,0,42,5,3802605,26289,23015,0,978
66,241,0,4348,445,0,543,5,3802693,18154,28367,0,114
66,526,0,445,4348,0,100,5,3802724,28367,18154,0,113
66,241,0,4479,445,0,543,5,3802725,18172,28367,0,2587
66,1278,0,445,4479,0,100,5,3802725,28367,18172,0,2588
66,839,0,4349,445,0,543,5,3802786,18154,29066,0,1062
66,176,0,445,4349,0,100,5,3802818,29066,10537,0,70667
66,498,0,445,4349,0,100,5,3802818,28528,18154,0,70668
66,611,0,445,4349,0,100,5,3802818,29066,18154,0,1061
66,224,0,445,4349,0,100,5,3802818,13079,17539,0,70663
66,180,0,4349,445,0,543,5,3802818,3625,29066,0,70664
66,190,0,4479,445,0,543,5,3802818,18172,28367,0,2587
66,584,0,445,4479,0,100,5,3802818,26034,18172,0,68827
66,320,0,4349,445,0,543,5,3802818,16248,29066,0,70665
66,219,0,445,4349,0,100,5,3802818,29066,12097,0,70666
66,170,0,445,4349,0,100,5,3802819,26807,18723,0,70669
66,284,0,445,28300,0,543,5,3802822,18227,11429,0,70670
66,1855,0,28300,445,0,100,5,3802829,28399,18227,0,394
66,404,1,28300,445,0,100,5,3802829,28399,18227,1,394
66,2390,0,445,1199,0,100,5,3802837,28367,18149,0,157
66,2027,0,1199,445,0,543,5,3802837,18149,28367,0,158
66,2628,0,445,4494,0,100,5,3802963,28367,18172,0,2588
66,1799,0,4494,445,0,543,5,3802963,18172,28367,0,2587
66,1807,0,4410,445,0,543,5,3802963,18305,28367,0,1599
66,2628,0,445,4410,0,100,5,3802963,28367,18305,0,1598
66,645,0,2511,139,0,543,5,3802964,18227,28367,0,267
66,3857,0,139,2510,0,100,5,3802964,28367,18227,0,268
66,1347,0,139,2511,0,100,5,3802964,28367,18227,0,268
66,645,0,2510,139,0,543,5,3802964,18227,28367,0,267
66,2563,0,2518,445,0,543,5,3802964,18227,28367,0,267
66,996,0,445,2518,0,100,5,3802964,28367,18227,0,268
66,2563,0,2512,445,0,543,5,3802964,18227,28367,0,267
66,996,0,445,2512,0,100,5,3802964,28367,18227,0,268
66,176,0,2515,139,0,543,5,3802964,18227,28367,0,267
66,270,1,445,4412,0,100,5,3802982,28921,18305,1,3619
66,282,1,445,4412,0,100,5,3802982,28921,18305,1,3619
66,284,1,445,4412,0,100,5,3802982,28921,18305,1,3619
66,10287,1,445,4412,0,100,5,3802982,28921,18305,1,3619
66,1968,1,445,4412,0,100,5,3802982,28921,18305,1,3619
66,3340,0,445,4412,0,100,5,3802982,28921,18305,0,3619
66,4685,0,4412,445,0,543,5,3802982,18305,28921,0,3620
66,1905,0,445,4496,0,94,5,3802983,23144,18172,0,33220
66,270,1,445,4496,0,94,5,3802983,23144,18172,1,33220
66,262,1,445,4496,0,94,5,3802983,23144,18172,1,33220
66,2628,0,445,1956,0,100,5,3802983,28367,20683,0,187
66,1807,0,1956,445,0,543,5,3802983,20683,28367,0,186
66,882,0,445,4802,0,543,5,3802992,18227,15343,0,57
66,693,0,4802,445,0,100,5,3802992,15343,18227,0,58
66,2023,0,1503,445,0,543,5,3802993,20668,28921,0,1414
66,2386,0,445,1503,0,100,5,3802993,28921,20668,0,1415
66,270,1,445,1958,0,100,5,3802993,28921,20683,1,1193
66,1600,0,445,1958,0,100,5,3802993,28921,20683,0,1193
66,288,0,445,51035,100,0,0,3802993,6007,2038,0,70671
66,2901,0,1958,445,0,543,5,3802993,20683,28921,0,1192
66,222,1,445,1958,0,100,5,3802993,28921,20683,1,1193
66,404,1,51035,445,0,543,5,3803007,20745,28367,2,29
66,1334,0,51035,445,0,543,5,3803007,20745,28367,0,29
66,711,0,445,51035,0,100,5,3803007,28367,20745,0,76
66,887,0,445,1474,0,100,5,3803022,26188,21860,0,1077
66,2955,0,445,1475,0,100,5,3803023,26189,21860,0,338
66,3153,0,445,4414,0,94,5,3803023,23348,21838,0,3946
66,352,1,445,39683,0,543,5,3803048,18227,29066,1,97
66,1041,0,445,39683,0,543,5,3803048,18227,29066,0,97
66,619,0,39683,445,0,100,5,3803048,29066,18227,0,98
66,404,1,39683,445,0,100,5,3803048,29066,18227,1,98
66,2027,0,4707,445,0,543,5,3803049,18316,28367,0,211
66,2390,0,445,4707,0,100,5,3803049,28367,18316,0,210
66,2390,0,445,4701,0,100,5,3803051,28367,20696,0,3008
66,2027,0,4701,445,0,543,5,3803051,20696,28367,0,3009
66,633,0,445,3305,0,543,5,3803055,18227,16416,0,70672
66,547,0,3305,445,0,100,5,3803055,16416,18227,0,70673
66,1765,0,445,3705,0,42,5,3803059,26289,23037,0,3356
66,919,0,445,2969,0,42,5,3803059,26279,23028,0,266
66,1793,0,2647,445,0,543,5,3803076,18159,30352,0,1249
66,2626,0,445,2647,0,100,5,3803076,30352,18159,0,1248
66,270,1,445,2649,0,94,5,3803076,23144,18159,1,2673
66,262,1,445,2649,0,94,5,3803076,23144,18159,1,2673
66,1905,0,445,2649,0,94,5,3803076,23144,18159,0,2673
66,2031,0,1220,445,0,543,5,3803076,20835,28921,0,1702
66,2386,0,445,1220,0,100,5,3803076,28921,20835,0,1703
66,1041,0,445,48600,0,543,5,3803078,18227,30352,0,94
66,352,1,445,48600,0,543,5,3803078,18227,30352,1,94
66,619,0,48600,445,0,100,5,3803078,30352,18227,0,93
66,262,1,445,4719,0,100,5,3803078,24912,18316,1,69630
66,1905,0,445,4719,0,100,5,3803078,24912,18316,0,69630
66,404,1,48600,445,0,100,5,3803078,30352,18227,1,93
66,270,1,445,4719,0,100,5,3803078,24912,18316,1,69630
66,3407,0,4719,445,0,543,5,3803078,18316,24912,0,69631
66,226,1,445,2550,0,94,5,3803098,23349,21808,1,610
66,294,1,445,2550,0,94,5,3803098,23349,21808,1,610
66,248,1,445,2550,0,94,5,3803098,23349,21808,1,610
66,282,1,445,2550,0,94,5,3803098,23349,21808,1,610
66,280,1,445,2550,0,94,5,3803098,23349,21808,1,610
66,3200,1,445,2550,0,94,5,3803098,23349,21808,2,610
66,43516,1,445,2550,0,94,5,3803098,23349,21808,2,610
66,5920,1,445,2550,0,94,5,3803098,23349,21808,2,610
66,9876,1,445,2550,0,94,5,3803098,23349,21808,2,610
66,5664,1,445,2550,0,94,5,3803098,23349,21808,2,610
66,380,1,445,2550,0,94,5,3803098,23349,21808,1,610
66,1568,1,445,2550,0,94,5,3803098,23349,21808,1,610
66,1292,1,445,2550,0,94,5,3803098,23349,21808,1,610
66,11827,1,445,2550,0,94,5,3803098,23349,21808,1,610
66,452,1,445,2550,0,94,5,3803098,23349,21808,1,610
66,528,1,445,2550,0,94,5,3803098,23349,21808,1,610
66,2628,0,445,4717,0,100,5,3803098,28367,18316,0,210
66,13087,0,445,2550,0,94,5,3803098,23349,21808,0,610
66,8519,1,445,2550,0,94,5,3803098,23349,21808,1,610
66,1799,0,4717,445,0,543,5,3803098,18316,28367,0,211
66,1186,0,2345,445,0,543,5,3803099,20669,28361,0,70674
66,3153,0,445,4105,0,94,5,3803099,23348,21817,0,356
66,2013,0,1236,445,0,543,5,3803099,18326,29066,0,8459
66,777,0,2345,445,0,543,5,3803099,20669,28367,0,354
66,2390,0,445,2345,0,100,5,3803099,28367,20669,0,353
66,2385,0,445,1236,0,100,5,3803099,29066,18326,0,22069
66,1488,0,445,1885,0,94,5,3803105,23348,21855,0,1018
66,176,0,445,4603,0,94,5,3803105,11036,21692,0,70675
66,248,1,445,1885,0,94,5,3803105,23348,21855,1,1018
66,1420,0,445,5980,0,94,5,3803135,23349,27665,0,70676
66,208,0,445,1885,0,94,5,3803136,23350,21855,0,48084
66,176,0,445,2013,0,94,5,3803136,23348,21855,0,1018
66,442,0,445,1885,0,94,5,3803136,29866,21855,0,2072
66,1344,0,445,1917,0,94,5,3803136,23348,21855,0,1018
66,176,0,445,1885,0,94,5,3803136,23341,21855,0,49491
66,208,0,445,4603,0,94,5,3803136,7158,21719,0,70677
66,197,0,445,1919,0,94,5,3803136,23348,21855,0,1018
66,208,0,445,1885,0,94,5,3803137,23421,21797,0,31637
66,208,0,445,1885,0,94,5,3803137,23348,12523,0,70678
66,224,0,445,1885,0,94,5,3803137,25195,21697,0,70682
66,208,0,445,6651,0,94,5,3803137,23349,21850,0,784
66,1344,0,445,10077,0,94,5,3803137,23348,12523,0,70678
66,170,0,445,9757,0,94,5,3803137,23348,12002,0,70679
66,192,0,445,1887,94,0,0,3803137,5686,19442,0,70680
66,192,0,445,4603,0,94,5,3803137,23342,9592,0,70681
66,1564,0,445,1916,0,94,5,3803137,23349,22240,0,47491
66,278,0,445,1195,0,100,5,3803144,30352,565,0,70683
66,1054,0,445,315,0,100,5,3803144,29066,30984,0,70684
66,278,0,445,2363,0,100,5,3803145,29013,20876,0,53804
66,210,0,3387,445,0,543,5,3803145,20670,29066,0,5295
66,1182,0,445,2363,0,100,5,3803152,29066,20876,0,4928
66,1869,0,2363,445,0,543,5,3803152,20876,29066,0,4929
66,1779,0,1195,445,0,543,5,3803152,18355,30352,0,219
66,2174,0,445,1195,0,100,5,3803152,30352,18355,0,220
66,2007,0,3957,445,0,543,5,3803159,18130,28367,0,17
66,2390,0,445,3957,0,100,5,3803159,28367,18130,0,136
66,2390,0,445,1798,0,100,5,3803161,28367,20842,0,248
66,2027,0,1798,445,0,543,5,3803161,20842,28367,0,247
66,1765,0,445,1210,0,42,5,3803264,26289,23015,0,978
66,288,0,445,2102,0,100,5,3803269,26688,18363,0,70685
66,288,0,445,2099,0,100,5,3803269,28367,18433,0,70686
66,218,0,2918,445,0,0,0,3803432,17745,26279,0,110
66,266,0,445,2918,100,0,0,3803886,26279,4705,0,70687
66,328,0,445,2918,0,100,5,3803886,26279,17745,0,112
66,204,0,2918,445,0,543,5,3803886,17745,26279,0,110
66,180,0,3942,445,0,543,5,3803886,17745,26279,0,110
66,522,0,445,3449,0,100,5,3805183,26188,21856,0,984
66,192,0,445,19833,0,100,5,3805183,26188,21856,0,984
66,226,1,445,3449,0,100,5,3805183,26188,21856,2,984
66,287,0,445,3453,0,100,5,3805183,26188,21856,0,984
66,225,0,445,3453,0,100,5,3805183,2545,21258,0,70688
66,442,0,445,3448,0,94,5,3805183,23348,21856,0,470
66,192,0,445,3449,100,0,0,3805183,26056,5590,0,70689
66,224,0,445,3449,100,0,0,3805184,5005,19443,0,70690
66,208,0,445,1401,0,100,5,3805184,26188,21856,0,984
66,208,0,445,2425,0,100,5,3805184,26056,13916,0,70691
66,296,0,4823,445,0,100,5,3805298,18554,18227,0,56
66,178,0,4759,445,0,100,5,3805298,18552,18115,0,70692
66,468,0,445,4831,0,543,5,3805298,27287,19403,0,70693
66,204,0,2643,445,0,543,5,3805314,18170,30340,0,70694
66,1796,0,445,2643,0,100,5,3805314,30352,18170,0,5218
66,442,0,445,2643,0,100,5,3805314,2818,18170,0,70695
66,391,0,2643,445,0,543,5,3805314,18170,30352,0,5217
66,224,0,445,3790,0,42,5,3805439,14949,22899,0,28229
66,288,0,445,710,0,100,5,3805441,28594,13382,0,70696
66,442,0,445,2641,0,100,5,3805441,28055,18170,0,61211
66,1761,0,2641,445,0,543,5,3805441,18170,28367,0,2459
66,288,0,445,2641,0,100,5,3805441,10107,17222,0,35508
66,278,0,445,2641,0,100,5,3805441,28367,18170,0,2458
66,278,0,445,4548,0,100,5,3805473,28367,18172,0,2588
66,442,0,445,4556,0,100,5,3805473,28367,18283,0,54157
66,289,0,445,4485,0,100,5,3805602,27115,17912,0,42000
66,288,0,37086,445,0,543,5,3805633,18219,25074,0,181
66,1564,0,37089,445,0,543,5,3805633,18219,25477,0,182
66,352,1,445,37089,0,100,5,3805633,25477,18219,2,183
66,831,0,445,37086,0,100,5,3805633,25074,18219,0,180
66,284,0,445,37089,0,100,5,3805633,25477,18219,0,183
66,220,0,445,20693,0,100,5,3805634,2827,318,0,70697
66,195,0,445,3685,0,100,5,3805634,30528,20844,0,70698
66,423,0,3685,445,0,543,5,3805634,20844,30352,0,684
66,176,0,445,2661,0,100,5,3805634,30352,13815,0,59368
66,320,0,445,3685,0,100,5,3805635,30352,20844,0,685
66,224,0,445,3684,0,100,5,3805635,30352,20844,0,685
66,330,0,3685,445,0,543,5,3805635,20844,30333,0,70699
66,224,0,445,3685,0,100,5,3805635,11496,20844,0,70700
66,236,0,445,4305,0,100,5,3805637,8720,18632,0,70701
66,192,0,4309,445,0,543,5,3805637,20840,25074,0,27168
66,297,0,445,4309,0,100,5,3805637,25074,20181,0,70702
66,793,0,445,4305,0,100,5,3805637,25074,20840,0,39857
66,284,0,445,37072,0,100,5,3805637,30432,18220,0,70703
66,241,0,4834,445,0,543,5,3806251,20696,28367,0,3009
66,1433,0,445,37093,0,100,5,3806280,28921,18219,0,147
66,3149,0,37093,445,0,543,5,3806280,18219,28921,0,149
66,442,0,445,4706,0,100,5,3806281,27816,16974,0,70704
66,584,0,445,4834,0,100,5,3806282,28367,30925,0,47857
66,278,0,445,4834,0,100,5,3806282,28367,20696,0,3008
66,1621,0,1812,445,0,543,5,3806282,18319,30352,0,1617
66,1314,0,4834,445,0,543,5,3806282,12402,4420,0,70705
66,1398,0,445,1812,0,100,5,3806282,30352,18319,0,1615
66,304,0,445,37091,0,100,5,3806283,26034,18020,0,70706
66,278,0,445,37091,100,0,0,3806283,28371,5234,0,70707
66,219,0,445,2412,0,100,5,3806997,29066,20669,0,718
66,2119,0,445,2026,0,94,5,3807178,23348,21854,0,627
66,888,0,445,2026,0,94,5,3807178,22373,21854,0,70708
66,330,0,2620,445,0,543,5,3807178,19830,29075,0,70709
66,274,0,445,6122,0,94,5,3807178,11035,14868,0,63455
66,210,0,41497,445,0,100,5,3807571,24912,18554,0,70710
66,241,0,41497,445,0,100,5,3807571,30571,18227,0,53080
66,284,0,445,41497,0,543,5,3807572,18227,24912,0,197
66,520,0,41497,445,0,100,5,3807572,24912,18227,0,198
66,442,0,445,1869,0,100,5,3807573,28367,18319,0,1577
66,208,0,445,1861,0,100,5,3807573,11369,14444,0,70711
66,330,0,1861,445,0,543,5,3807573,18319,28367,0,1578
66,313,0,445,3743,0,42,5,3807609,26279,23048,0,89
66,494,0,52250,445,0,543,5,3807669,20745,29066,0,7964
66,180,0,52250,445,0,543,5,3807700,20745,1419,0,70712
66,1574,0,4074,445,0,543,5,3807700,18130,28367,0,17
66,241,0,4074,445,0,543,5,3807700,25661,28367,0,1618
66,2166,0,445,4074,0,100,5,3807700,28367,18130,0,136
66,442,0,445,19235,0,100,5,3807701,28105,18359,0,68628
66,180,0,4074,445,543,0,0,3807701,18130,6007,0,70713
66,190,0,1440,445,0,543,5,3807704,18355,30352,0,219
66,320,0,1312,445,0,543,5,3807704,18355,30352,0,219
66,2166,0,445,1312,0,100,5,3807704,30352,18355,0,220
66,508,0,445,52250,0,100,5,3807707,29066,20745,0,70588
66,1278,0,445,2851,0,100,5,3807707,28367,18350,0,87
66,180,0,2851,445,0,543,5,3807707,18350,28367,0,88
66,661,0,2436,445,0,543,5,3807817,18220,28367,0,146
66,352,1,445,49830,0,543,5,3807817,18227,30352,1,94
66,1041,0,445,49830,0,543,5,3807817,18227,30352,0,94
66,404,1,49830,445,0,100,5,3807817,30352,18227,1,93
66,1187,0,445,2436,0,100,5,3807817,28367,18220,0,145
66,619,0,49830,445,0,100,5,3807817,30352,18227,0,93
66,2174,0,445,4201,0,100,5,3807818,30352,20665,0,1284
66,1905,0,4201,445,0,543,5,3807818,20665,30352,0,1285
66,880,0,445,4199,0,100,5,3807820,28367,20665,0,134
66,1761,0,4199,445,0,543,5,3807820,20665,28367,0,135
66,352,1,445,29018,0,543,5,3807822,18227,28399,1,393
66,284,0,445,29018,0,543,5,3807822,18227,28399,0,393
66,442,0,29018,445,0,100,5,3807822,28399,18227,0,394
66,404,1,29018,445,0,100,5,3807822,28399,18227,1,394
66,284,1,445,2263,0,42,5,3807824,26279,23060,1,520
66,2336,1,445,2263,0,42,5,3807824,26279,23060,2,520
66,1097,0,445,3770,0,42,5,3807824,26279,23048,0,89
66,2391,0,445,2263,0,42,5,3807824,26279,23060,0,520
66,284,1,445,3771,0,42,5,3807835,26289,23048,1,541
66,2336,1,445,3771,0,42,5,3807835,26289,23048,2,541
66,1607,0,445,3771,0,42,5,3807835,26289,23048,0,541
66,396,0,4678,445,0,543,5,3807850,18136,28367,0,695
66,3165,0,445,2630,0,100,5,3807880,26189,21808,0,384
66,290,0,445,271,0,100,5,3807881,2892,20840,0,70714
66,596,0,445,4367,0,100,5,3807881,30352,20840,0,570
66,253,0,4367,445,0,543,5,3807881,20840,30352,0,571
66,241,0,1305,445,0,543,5,3807881,18324,28921,0,496
66,241,0,1437,445,0,543,5,3807881,18324,28921,0,496
66,284,0,445,1433,0,100,5,3807881,28921,18324,0,495
66,284,0,445,1437,0,100,5,3807881,28921,18324,0,495
66,176,0,445,4456,0,100,5,3807882,9922,21838,0,51559
66,1564,0,445,4472,100,0,0,3807882,5047,21687,0,70715
66,243,0,445,4472,0,100,5,3807882,26370,21864,0,70716
66,176,0,445,4472,0,100,5,3807882,14961,21838,0,70717
66,176,0,445,4472,0,100,5,3807882,26189,21817,0,802
66,176,0,445,4408,0,100,5,3807882,26189,21838,0,7639
66,192,0,445,4472,0,100,5,3807882,26189,21810,0,58957
66,1557,0,445,4477,0,100,5,3807882,26189,21838,0,7639
66,1670,1,445,4472,0,100,5,3807883,26189,21838,2,7639
66,1176,0,445,4678,0,100,5,3807883,28367,18136,0,696
66,1856,0,445,4472,0,100,5,3807883,26189,21838,0,7639
66,224,0,445,4472,0,100,5,3807883,4316,21838,0,67671
66,443,0,445,39523,0,100,5,3807883,28528,25717,0,70718
66,1054,0,445,4166,0,100,5,3807883,7537,14567,0,70719
66,243,0,445,4472,0,100,5,3807884,26452,21931,0,68299
66,2329,0,445,3214,0,94,5,3807884,23349,21879,0,1008
66,208,0,445,4472,0,100,5,3807884,25881,21909,0,51583
66,888,0,445,3210,0,94,5,3807884,23349,21265,0,70720
66,224,0,445,4216,0,100,5,3807884,26335,21918,0,32095
66,176,0,445,4472,0,100,5,3807884,26189,21918,0,252
66,176,0,445,4472,100,0,0,3807885,6032,21838,0,70721
66,208,0,445,4601,0,100,5,3807942,26190,21544,0,70722
66,192,0,445,1534,0,94,5,3808308,23349,21482,0,26151
66,224,0,445,1532,0,94,5,3808308,23514,21924,0,70723
66,1022,0,445,2729,0,100,5,3808308,28367,18170,0,2458
66,176,0,445,1533,0,94,5,3808308,23349,21577,0,24500
66,674,1,445,1532,0,94,5,3808308,23349,21918,1,3261
66,280,1,445,1532,0,94,5,3808308,23349,21918,1,3261
66,9876,1,445,1532,0,94,5,3808308,23349,21918,2,3261
66,656,0,445,1968,0,100,5,3808308,28367,18139,0,130
66,241,0,2729,445,0,543,5,3808308,18170,28367,0,2459
66,5920,1,445,1532,0,94,5,3808308,23349,21918,2,3261
66,17192,1,445,1532,0,94,5,3808308,23349,21918,2,3261
66,1054,0,445,2729,0,100,5,3808308,28367,18351,0,5564
66,3200,1,445,1532,0,94,5,3808308,23349,21918,2,3261
66,5920,1,445,1532,0,94,5,3808308,23349,21918,2,3261
66,380,1,445,1532,0,94,5,3808308,23349,21918,1,3261
66,208,0,445,1532,94,0,0,3808308,23349,2280,0,25642
66,16401,0,445,1532,0,94,5,3808308,23349,21918,0,3261
66,1292,1,445,1532,0,94,5,3808308,23349,21918,1,3261
66,12291,1,445,1532,0,94,5,3808308,23349,21918,1,3261
66,176,0,445,2044,0,94,5,3808308,23349,21918,0,3261
66,208,0,445,1532,0,94,5,3808308,2381,16045,0,26144
66,241,0,14754,445,0,100,5,3808309,4592,16293,0,39981
66,176,0,445,1524,0,94,5,3808309,23349,21181,0,25640
66,1344,0,445,1532,0,94,5,3808309,23349,10941,0,24503
66,222,1,445,4936,0,100,5,3808312,24912,20696,1,69613
66,1864,0,445,4936,0,100,5,3808312,24912,20696,0,69613
66,241,0,4936,445,0,543,5,3808312,20696,4230,0,70724
66,2090,0,4936,445,0,543,5,3808312,20696,24912,0,28545
66,1420,0,445,17915,0,94,5,3808312,23348,21918,0,259
66,1787,0,445,1531,0,94,5,3808312,23348,21918,0,259
66,180,0,4936,445,0,543,5,3808313,20699,24912,0,13906
66,1312,0,445,4220,0,100,5,3808313,28367,20645,0,1839
66,352,1,445,5243,0,543,5,3808436,18227,18554,1,55
66,288,0,445,4934,0,100,5,3808436,28105,20688,0,48557
66,1041,0,445,5243,0,543,5,3808436,18227,18554,0,55
66,404,1,5243,445,0,100,5,3808436,18554,18227,1,56
66,241,0,5243,445,0,100,5,3808436,17683,18227,0,70725
66,2056,0,5243,445,0,100,5,3808436,18554,18227,0,56
66,2049,0,4934,445,0,543,5,3808437,20696,28367,0,3009
66,2404,0,445,4934,0,100,5,3808437,28367,20696,0,3008
66,1564,0,52471,445,0,543,5,3808528,15904,28367,0,1478
66,1420,0,445,1564,0,100,5,3808558,26188,21161,0,70726
66,241,0,12652,445,0,94,5,3808559,22799,18232,0,70727
66,287,0,445,1565,0,100,5,3808561,14102,21161,0,70728
66,192,0,445,1045,0,100,5,3808561,26189,14872,0,6034
66,1706,0,445,1557,0,100,5,3808561,26189,21860,0,338
66,176,0,445,1557,0,100,5,3808561,26183,21860,0,760
66,1532,0,445,1559,0,100,5,3808562,2546,16028,0,26438
66,176,0,445,1553,0,100,5,3808562,26189,21260,0,30592
66,1564,0,445,1557,100,0,0,3808562,26189,2271,0,5004
66,454,0,445,1557,0,100,5,3808562,11232,14872,0,1384
66,556,0,445,52471,0,100,5,3808562,28367,20745,0,76
66,1642,0,52471,445,0,543,5,3808562,20745,28367,0,29
