srcid,dstid,Sequence
18330,28367,1
18169,2751,2
1189,22996,3
26279,22996,4
18317,28367,5
18122,29066,6
20695,28367,7
15012,25074,8
18156,28367,9
18131,30352,10
20695,29066,11
1907,26034,12
13383,25074,13
18165,28367,14
18156,25074,15
18229,25074,16
18130,28367,17
17308,28367,18
18207,24680,19
17953,29066,20
18109,13076,21
18317,2691,22
18186,28367,23
18124,28404,24
19230,28367,25
18124,28367,26
10566,28367,27
18109,28367,28
20745,28367,29
18207,28367,30
20840,10107,31
18227,15338,32
28367,18352,33
18352,28367,34
28367,18161,35
18161,28367,36
29066,18363,37
18363,29066,38
28367,18114,39
18114,28367,40
28367,18296,41
18296,28367,42
26189,21923,43
26279,22975,44
28367,18281,45
18281,28367,46
28921,18158,47
23348,21851,48
18158,28921,49
29545,18171,50
24912,18281,51
26188,21851,52
18171,29545,53
18281,24912,54
18227,18554,55
18554,18227,56
18227,15343,57
15343,18227,58
19782,18227,59
18354,28367,60
28367,18354,61
28367,20881,62
20881,28367,63
29995,18350,64
20840,28921,65
18350,29995,66
28921,20840,67
28921,20836,68
20836,28921,69
26279,22966,70
28367,18321,71
18321,28367,72
18171,29066,73
29066,18171,74
26289,23019,75
28367,20745,76
23348,21797,77
18357,28367,78
26189,21879,79
28367,18357,80
28367,18171,81
18171,28367,82
20836,28367,83
28367,20836,84
28367,18282,85
18282,28367,86
28367,18350,87
18350,28367,88
26279,23048,89
26279,22990,90
28921,18227,91
18227,28921,92
30352,18227,93
18227,30352,94
28367,18221,95
18221,28367,96
18227,29066,97
29066,18227,98
23144,18227,99
18315,28367,100
28367,18315,101
28367,18276,102
18276,28367,103
28442,18227,104
30352,18324,105
18324,30352,106
18151,28367,107
28367,18151,108
26279,23052,109
17745,26279,110
23144,18114,111
26279,17745,112
28367,18154,113
18154,28367,114
20715,28367,115
28367,20715,116
20834,28367,117
28367,20834,118
20753,28366,119
28366,20753,120
28367,20753,121
20753,28367,122
28367,18115,123
18115,28367,124
28367,18164,125
18164,28367,126
30352,18164,127
18164,30352,128
26289,23060,129
28367,18139,130
18139,28367,131
28367,20671,132
20671,28367,133
28367,20665,134
20665,28367,135
28367,18130,136
23349,21890,137
29545,20665,138
20665,29545,139
28921,18160,140
18160,28921,141
23348,21890,142
18227,18398,143
18398,18227,144
28367,18220,145
18220,28367,146
28921,18219,147
30352,18219,148
18219,28921,149
18219,30352,150
29066,18219,151
18219,29066,152
18219,28366,153
28366,18219,154
28367,18219,155
18219,28367,156
28367,18149,157
18149,28367,158
26279,22960,159
23348,21786,160
18277,28367,161
28367,18277,162
18554,18277,163
18277,18554,164
29545,18219,165
18219,29545,166
18554,18219,167
18219,18554,168
30392,18219,169
18219,30392,170
28366,20671,171
25430,18219,172
18219,25430,173
20671,28366,174
23144,18219,175
24912,18219,176
18219,24912,177
29995,18219,178
18219,29995,179
25074,18219,180
18219,25074,181
18219,25477,182
25477,18219,183
30352,20683,184
20683,30352,185
20683,28367,186
28367,20683,187
24266,30113,188
24347,30113,189
24172,30113,190
24225,30113,191
24449,30113,192
24123,30113,193
24226,30113,194
28367,18280,195
18280,28367,196
18227,24912,197
24912,18227,198
26279,23015,199
26279,23019,200
26289,22966,201
18298,28367,202
28367,18298,203
18227,25477,204
29545,18321,205
18321,29545,206
25477,18227,207
24264,30113,208
24423,30113,209
28367,18316,210
18316,28367,211
24246,30113,212
24912,20879,213
20879,24912,214
28921,18323,215
18323,28921,216
28367,20879,217
20879,28367,218
18355,30352,219
30352,18355,220
24242,30112,221
24242,29659,222
28921,18169,223
18169,28921,224
28367,18123,225
18123,28367,226
16417,18227,227
18227,16417,228
30352,18123,229
29545,18296,230
18123,30352,231
18296,29545,232
24242,29812,233
24242,30111,234
24242,29791,235
23349,21855,236
25430,18149,237
18149,25430,238
28367,18225,239
26289,23025,240
18225,28367,241
23025,26289,242
18340,28367,243
28367,18340,244
24912,18355,245
18355,24912,246
20842,28367,247
28367,20842,248
26188,21786,249
20668,28367,250
28367,20668,251
26189,21918,252
29066,20753,253
20753,29066,254
28921,20753,255
20753,28921,256
30352,20753,257
20753,30352,258
23348,21918,259
28367,18150,260
24225,29736,261
18150,28367,262
18227,30390,263
30390,18227,264
26279,23022,265
26279,23028,266
18227,28367,267
28367,18227,268
28367,18336,269
18336,28367,270
25477,20753,271
18554,20753,272
20753,25477,273
20753,18554,274
30392,20753,275
25430,20753,276
20753,25430,277
20753,30392,278
25074,20753,279
20753,25074,280
25233,20753,281
20753,25233,282
29995,20753,283
24912,20753,284
20753,29995,285
20753,29545,286
29545,20753,287
23144,20753,288
20753,24912,289
16120,18227,290
18227,16120,291
24255,29659,292
24255,29812,293
24255,30111,294
24255,29791,295
24255,30112,296
18131,28921,297
28921,18131,298
30352,18131,299
28367,18131,300
18131,28367,301
28367,18333,302
18333,28367,303
18554,18316,304
18316,18554,305
24247,29660,306
23911,29660,307
23921,29660,308
24265,29660,309
24267,29660,310
24124,29660,311
24246,29660,312
28367,18358,313
18358,28367,314
26188,21853,315
24171,29660,316
23962,29660,317
24123,29660,318
24424,29660,319
23990,29660,320
23992,29660,321
24226,29660,322
24449,29660,323
24172,29660,324
24346,29660,325
24168,29660,326
24264,29660,327
24266,29660,328
24450,29660,329
23963,29660,330
24347,29660,331
28366,18340,332
28367,18317,333
18340,28366,334
28367,20656,335
20656,28367,336
23348,21860,337
26189,21860,338
24225,29660,339
24423,29660,340
28367,18156,341
28921,18218,342
18218,28921,343
30352,18218,344
18218,30352,345
28367,18218,346
18218,28367,347
28367,18279,348
18279,28367,349
18554,18139,350
18139,18554,351
24226,29736,352
28367,20669,353
20669,28367,354
28921,18161,355
23348,21817,356
18161,28921,357
24252,29812,358
24252,30111,359
24252,29659,360
24252,30112,361
16541,18227,362
18159,28367,363
28367,18159,364
24252,29791,365
30352,18141,366
18141,30352,367
20876,28367,368
20766,28921,369
28921,20766,370
28367,20876,371
23349,21827,372
29066,18353,373
18353,29066,374
30352,18353,375
18353,30352,376
18160,28367,377
28367,18160,378
23144,18130,379
26289,22996,380
23349,21856,381
28367,20835,382
20835,28367,383
26189,21808,384
24243,29812,385
24243,29791,386
24243,30111,387
24243,30112,388
24243,29659,389
20843,28367,390
28367,20843,391
24680,18161,392
18227,28399,393
28399,18227,394
29995,18141,395
18141,29995,396
30352,18156,397
18156,30352,398
28367,20766,399
20766,28367,400
28366,18280,401
18280,28366,402
28366,18279,403
18279,28366,404
29066,18151,405
25430,20668,406
20668,25430,407
18151,29066,408
24256,29791,409
24256,29812,410
24256,29659,411
24256,30112,412
24256,30111,413
25477,20842,414
20842,25477,415
25074,20835,416
20835,25074,417
30352,18354,418
18354,30352,419
24254,29812,420
24254,30111,421
24254,29791,422
24253,29659,423
24253,30112,424
24257,29791,425
24253,29791,426
24257,30112,427
24257,29659,428
24254,29659,429
24254,30112,430
24253,30111,431
24257,30111,432
24253,29812,433
24257,29812,434
23144,20876,435
26189,21786,436
29066,18158,437
18158,29066,438
18554,20836,439
20836,18554,440
29545,20843,441
20843,29545,442
23911,30113,443
23921,30113,444
24265,30113,445
24267,30113,446
24124,30113,447
28921,18298,448
25430,18358,449
18298,28921,450
18358,25430,451
23992,30113,452
24168,30113,453
24346,30113,454
24247,30113,455
24450,30113,456
23963,30113,457
23990,30113,458
